ACE OF SPADES

Forums 
DOWNLOAD BETA 0.75!
Then click a server to join...

Slots	Ping	Country	Mode	Map	Name
30/32	680		tdm	Assault2	SPQR Official Server
5/32	762		tow	classicgen	junks UK 1
7/32	699		tdm	Pinpoint2	- LeafCutters EU 2 -
10/32	675		tdm	Pinpoint2	- LeafCutters EU 1 -
4/4	659		ctf	Anticbridge	Das Schlachten Zeitalter
29/32	699		ctf	Space Station	Ki11aWi11 - Arena
4/4	724		ctf	chute	Boehse Onkelz Server
28/32	685		ctf	Hallway	Ki11aWi11 - Fun Maps
21/24	652		ctf	PUG	NO GIRLS ALLOWED
28/32	675		arena	planeassault	lagit.in Lartza s Men Standing
3/4	724		ctf	pyspades	nitrado.net gameserver
5/32	914		ctf	gen	Guun server 24
30/32	645		ctf	Pinpoint	RoT III - Swag with a Vengeance
5/32	849		tdm	Anticbridge	Nround Server Asia
4/4	737		ctf	Anticbridge	nitrado.net gameserver
10/32	643		ffa	Normandie	Nach0z 0.75 FreeForAll
25/32	650		ctf	trenches	Ki11aWi11 - CTF
14/32	748		ctf	Pinpoint2	Bluefangsolutions.com Central
3/32	734		tc	Hallway	Bluefangsolutions.com Central
2/32	1132		ctf	Heaven Hell	ploopos airstrike max server
6/32	701		tdm	Anticbridge	Bluefangsolutions.com Central
3/32	738		ctf	random	Bluefangsolutions.com Central4
10/32	692		ctf	Pinpoint	RoT I - Swag Hard
32/32	642		ctf	random	RoT II - Swag Harder
0/32	732		ctf	Penthouse	Homosexual Support Group
5/32	750		tc	Port Factory	Homosexual Support Group
25/32	733		tdm	Battle Of BigBen	Homosexual Support Group
0/32	712		ctf	de dust2	Homosexual Support Group
0/32	712		tdm	Blue Resort	Homosexual Support Group
7/32	683		tdm	Bridge Wars	- LeafCutters EU 3 -
5/14	726		ctf	pyspades	McFerundes German-Fun-Server
27/32	820		ctf	Bridge Wars	IronLegion.de Bridgewars only
10/32	701		tdm	random 1717048750	The Shark Tank - Custom Maps
4/32	712		ctf	Harbor 2	ModernBuild.net - AoS Server
6/10	779		ctf	Realistic Bridge	EliteShooter
5/32	873		ctf	awp india	STOOGE GAMERS - AUSTRALIA
12/32	676		tdm	Animus	Animus Server 1 - tdm
17/24	979		ctf	De Dust2	STOOGE GAMERS - 247 DeDust
24/32	677		tc	classicgen 11574956	Gen Wars
8/32	693		tc	Anticbridge	Masterzock German Clanserver
1/3	673		ctf	Anticbridge	Only 1vs1
7/16	676		tdm	Cemetery	BuildingDiamonds
31/32	646		babel	holes	aloha.pk tower of babel
27/32	665		arena	cs italy	aloha.pk counter-strike maps
11/20	881		ctf	WhiteBeach	mrPinks Headshot Parade
25/32	737		ctf	Anticbridge	- B2K - Born 2 Kill Clan Server
6/32	879		tow	random	Chile Server - aoschile.tk
15/18	672		ctf	Hallway	Troll Guys - BR Clan
22/32	733		tc	Bridge Wars	Clanstore.de
9/10	785		ctf	Bridge It Is	Namen sind nicht von Bedeutung
6/10	675		ctf	pyspades	ChrisWood 4
1/4	672		ctf	pyspades	nitrado.net gameserver
23/32	925		ctf	Hallway	Konkey Dong Server
9/32	783		ctf	Anticbridge	MasterGamer 24Stunden 2 TeamsGe
29/32	690		tdm	Nuketown	FPS map jp server
4/20	815		ctf	sasuke kichiku	SASUKE JUMP server cannot kill
5/10	817		tdm	Bridge Wars	NoiharaLP.tk Gameserver
5/16	672		tc	2012	Territorial control German Only
2/32	811		ctf	Dust2	Real War / Realna Valka
3/32	740		ctf	Colloseum	Minit US - CTF
3/32	682		ctf	DeckII	Minit EU - CTF
1/4	676		tc	Bridge Wars	MgamerLP
4/32	822		ctf	Urban Tank Fight	50maps 1kill airstrike 1ctf ser
0/4	676		ctf	pyspades	MasterGamer2 24Stunden 2 TeamsG
1/32	725		ctf	pyspades	Click me 1
10/32	722		ctf	Pinpoint	IridiumGaming.tk CTF - Fast Res
2/4	663		ctf	Anticbridge	ChrisWood 2
2/32	729		ctf	suspendu	Animus Server 3 - ctf
11/32	740		ctf	Bridge Wars	Labyrinth Gaming
3/6	677		ctf	Bridge Wars	BoarischxD
2/2	678		tdm	Anticbridge	DenisSinan
2/2	776		tdm	Normandie	123nitrado.net gameserver LULU
18/20	842		ctf	Hallway	marvgamers ballerbude
15/32	702		infiltr	Swamp	Minit EU - Infiltration
0/32	675		ctf	Isle of War	Minit EU - Whitelist
4/4	664		ctf	Bridge Wars	Remember
10/32	811		ctf	Pinpoint	Excalibuur - Perceval FR
5/32	690		ctf	Hallway	CentziliusLPs Server - GLP Mumb
18/32	811		ctf	Bridge Wars	B-Paradise.eu CZ/SK
0/4	674		ctf	pyspades	Cooler Server
11/32	672		tdm	Standoff	- www.komrades.org Server -
2/32	671		tdm	Prison	Myles Fun AOS Server
12/32	702		tdm	Pinpoint	Build and DESTROY
5/6	672		ctf	Bridge Wars	Timeline
22/32	729		tc	Cannibal Islands	fCraft.net AoS /ENGLISH/
24/32	672		ctf	Pinpoint	JestServers.com Netherlands
3/32	859		ctf	Hallway	Stefanos Free For All Pyspades
9/32	659		ctf	Paradise	youtube.com/eelikay 24/7 CTF
9/32	795		ctf	Standoff	No mans land
7/14	821		ctf	Pinpoint	Stormwind Clan Server
30/32	756		ctf	Anticbridge	JestServers.com Germany
29/32	680		ctf	Anticbridge	JestServers.com New York
21/32	680		ctf	Anticbridge	JestServers.com Los Angeles
16/32	639		ctf	pyspades	JestServers.com Dallas
25/32	702		ctf	Anticbridge	JestServers.com San Jose
28/32	684		ctf	Pinpoint	pyspades server
2/8	836		ctf	Life	 Polski
24/24	827		tdm	Anticbridge	BS-Game.ath.cx
3/4	682		ctf	Bridge Wars	Beast-Cutter
6/6	735		ctf	Bridge Wars	KirbyDirby12 s AoS
31/32	712		ctf	Normandie	Chris s Server
26/32	687		ctf	pyspades	Wood Punchers 24/7 No lag CTF
2/2	844		ctf	Bridge Wars	Hello
32/32	737		ctf	random 1885084605	Minespace
10/10	946		ctf	random 1251933874	Ggthbs server
2/32	804		tc	random	MKAB TC 2
