FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
,,,Colombo Harbour,Colombo Harbour,Ceylon Petroleum,Installed,Catenary Anchor Leg Mooring,1987,29,"180,000",1,
,,,,Covenas 1996,Ocensa,Installed,Catenary Anchor Leg Mooring,1996,14,,2,"15X15X10 metres, 6 anchor chains"
,,,,Cuddalore SBM,Hardy,Installed,Conventional Buoy Mooring,2013,,,,
,,,Dar-Es-Salaam,Dar-Es-Salaam,GOVERNMENT,Installed,Catenary Anchor Leg Mooring,1971,24,"100,000",2,
,,,Dar-Es-Salaam,Dar-Es-Salaam,GOVERNMENT,Installed,Catenary Anchor Leg Mooring,1982,27,"100,000",2,Stock unit.
,,Ruwais,DAS Marine Terminal off Abu Dhabi,DAS Marine Terminal off Abu Dhabi,Adma-Opco,Installed,Catenary Anchor Leg Mooring,2005,,"36,000",0,
,,,Dragon Field,Dragon Field,Vietsovpetro,Installed,Catenary Anchor Leg Mooring,1994,48,"154,000",2,Underwater hoses connected to an FPSO vessel.
,,,Frontignan,Frontignan,Mobil,Installed,Catenary Anchor Leg Mooring,1973,31,"270,000",2,
,,,Gamba Field,Gamba Field 1965,Shell,Installed,Catenary Anchor Leg Mooring,1965,19,"100,000",1,
,,,Gamba Field,Gamba Field 1979,Shell,Installed,Catenary Anchor Leg Mooring,1979,19,"140,000",2,Replacement unit.  Buoy removed - year unknown.
,,,Gamba Field,Gamba Field 1988,Shell,Installed,Catenary Anchor Leg Mooring,1988,23,"150,000",0,Replacement unit.
,,,GS-16-2 Field,GS-16-2 Field,ONGC,Installed,Catenary Anchor Leg Mooring,1988,12,"87,500",0,Permanent mooring with an FPSO vessel.
,,,,Gulf of Kutch,IOCL,Installed,Catenary Anchor Leg Mooring,1997,32,"300,000",6,
,,,Gulf of Suez Area,Gulf of Suez Area,,Installed,Catenary Anchor Leg Mooring,1976,25,"250,000",2,
,,,Gulf of Suez Area,Gulf of Suez Area 1976,,Installed,Catenary Anchor Leg Mooring,1976,25,"250,000",2,
,,,Gulf of Suez Area,Gulf of Suez Area 1983,,Installed,Catenary Anchor Leg Mooring,1983,36,"500,000",3,Transit pipeline terminal.
,,,Gulf of Tai Po,Gulf of Tai Po,Hong Kong&China Gas,Installed,Catenary Anchor Leg Mooring,1986,,,0,
,,,Huelva,Huelva,,Installed,Catenary Anchor Leg Mooring,1966,23,"100,000",2,
,,,Iman Hasan,Iman Hasan,,Installed,Catenary Anchor Leg Mooring,1971,25,"250,000",2,
,,,Bioko Island,Isla de Bioko,Walter Oil & Gas,Installed,Catenary Anchor Leg Mooring,1991,38,,0,
,,,,Jamnagar Terminal,Reliance,Installed,Catenary Anchor Leg Mooring,1998,30,"350,000",2,Bechtel is proj mgr. 2 marine p/s will link two SPMs to new build 2.73-mile jetty to allow offshore unloading of crude oil.
,,,,Jamnagar Terminal,Reliance,Installed,Catenary Anchor Leg Mooring,1998,30,"350,000",2,Bechtel is project manager. 2 marine p/s will link two SPMs to newbuild 2.73-mile jetty to allow offshore unloading of crude oil.
,,,,Java Sea Area,BP,Installed,Catenary Anchor Leg Mooring,1972,41,"133,000",3,Permanent mooring for a storage barge.
,,,,Java Sea Area 1971,Maxus,Installed,Catenary Anchor Leg Mooring,1971,37,"55,000",2,
,,,,Java Sea Area 1971,BP,Installed,Catenary Anchor Leg Mooring,1971,37,"45,000",1,
,,,,Jizan Port Terminal,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1995,17,"45,000",2,White products
,,,,Jizan Port Terminal,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1995,17,"45,000",2,White products
,,,Jose Ignacio,Jose Ignacio 1975,,Installed,Catenary Anchor Leg Mooring,1975,20,"150,000",2,
,,,Jose Ignacio,Jose Ignacio 1984,,Installed,Catenary Anchor Leg Mooring,1984,20,"150,000",2,
,,,Ju'Aymah,Ju'Aymah 1974,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1974,41,"300,000",3,
,,,Ju'Aymah,Ju'Aymah 1974,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1974,41,"500,000",3,
,,,Ju'Aymah,Ju'Aymah 1974,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1974,41,"500,000",3,
,,,Ju'Aymah,Ju'Aymah 1975,Saudi Aramco,Installed,Single Anchor Leg Mooring,1975,41,"750,000",3,
,,,Ju'Aymah,Ju'Aymah 1975,Saudi Aramco,Installed,Single Anchor Leg Mooring,1975,41,"750,000",3,
,,,Kaohsiung,Kaohsiung,,Installed,Catenary Anchor Leg Mooring,1968,21,"100,000",3,
,,,Khor Al Amaya,Khor Al Amaya,,Installed,Catenary Anchor Leg Mooring,1981,26,"350,000",3,Unit placed in storage.
,,,Khor Al Amaya,Khor Al Amaya,,Installed,Catenary Anchor Leg Mooring,1981,26,"350,000",3,Unit placed in storage.
,,Offshore North West Java (ONWJ),Ardjuna,KKN,Exspans,Installed,Submerged Turret,1995,63,"24,000",1,"NORMOR is proprietary design of Nortrans, which is based in Singapore."
,,Region Marina Noreste,Ku-Maloob-Zaap,Ku-Malooob-Zaap 2007-2011,Pemex,Installed,,2007,23,,0,"78 new prod wells tied into 4 platforms to be built by 2010.1 compression plat.  Prod 288,000 bpd in 2003. Fpu bids due 05/05."
,,,Kuria Muria Field,Kuria Muria Field,Shell,Installed,Catenary Anchor Leg Mooring,1984,38,"350,000",2,Stock unit.
,,,,Kutubu Dev-Kumul Terminal,Chevron,Installed,Catenary Anchor Leg Mooring,1992,27,"150,000",2,
,,,Louisiana,Louisiana,Kerr-McGee,Installed,,1967,,"8,000",1,
,,,Marsa Nimeiri,Marsa Nimeiri,Chevron,Installed,Catenary Anchor Leg Mooring,1983,,"300,000",1,
,,,,Medan LNG Receiving Terminal Project,Pertamina,Cancelled,Catenary Anchor Leg Mooring,2012,,,,
,,,Mispec Point Area,Mispec Point Area,,Installed,Catenary Anchor Leg Mooring,1969,45,"350,000",2,
,,,,MLNG-2 Train,Shell,Installed,Catenary Anchor Leg Mooring,1995,20,"350,000",0,Installed.
,,,,MLNG-2 Train,Shell,Installed,Catenary Anchor Leg Mooring,1995,20,"350,000",0,
,,,,MLNG-2 Train,Shell,Installed,Catenary Anchor Leg Mooring,1995,20,"350,000",0,
,,,Nakagusuki Bay,Nakagusuki Bay,,Installed,Single Anchor Leg Mooring,1971,26,"250,000",2,Unit removed - year unknown.
,,,Nore Estuary,Nore Estuary,,Installed,,1965,,"100,000",0,
,,,Off Agami,Off Agami,,Installed,Catenary Anchor Leg Mooring,1976,30,"100,000",2,
,,,Off Alexandria,Off Alexandria,,Installed,Catenary Anchor Leg Mooring,1976,33,"250,000",3,
,,,Off Alexandria,Off Alexandria,,Installed,Catenary Anchor Leg Mooring,1976,33,"250,000",3,
,,,Off Assir,Off Assir,,Installed,Catenary Anchor Leg Mooring,1985,16,"20,000",2,Fuel oil supply buoy.
,,,Off Atsumi,Off Atsumi,,Installed,Catenary Anchor Leg Mooring,1970,,"200,000",2,Unit removed - year unknown.
,,,Off Badelona,Off Badelona,CAMPSA,Installed,Single Anchor Leg Mooring,1979,33,"50,000",2,
,,,Off Bata,Off Bata,,Installed,Catenary Anchor Leg Mooring,1963,12,"20,000",1,
,,,Off Beirut,Off Beirut,Ministry of Energy and Water Lebanon,Installed,Single Anchor Leg Mooring,1986,35,"40,000",1,
,,,Off Bellatrix,Off Bellatrix,Agip,Installed,Catenary Anchor Leg Mooring,1993,30,"285,000",3,Leased unit.
,,,Off Chiba,Off Chiba 1965,Maruzen Oil,Installed,Catenary Anchor Leg Mooring,1965,,"100,000",3,
,,,Off Chiba,Off Chiba 1993,,Installed,Catenary Anchor Leg Mooring,1993,,"100,000",0,
,,,Off Chu-Wei,Off Chu-Wei,,Installed,Single Anchor Leg Mooring,1976,37,"250,000",2,
,,,Off Chu-Wei,Off Chu-Wei,,Installed,Catenary Anchor Leg Mooring,1979,37,"250,000",2,
,,,"Off coast of Jebel Dhana, UAE.","Off coast of Jebel Dhana, UAE.",Siemens,Installed,Conventional Buoy Mooring,2003,10,,0,
,,,Colombo Harbour,Off Colombo,,Installed,Catenary Anchor Leg Mooring,1999,15,"20,000",0,LPG Conventional Buoy Mooring system for Shell Terminal Lanka Pvt. Ltd.
,,,Off Cuxhaven (Baltic Sea),Off Cuxhaven (Baltic Sea),,Installed,Catenary Anchor Leg Mooring,1962,8,"2,000",1,First modular buoy installed.
,,,Off Daesan,Off Daesan 1987,,Installed,Catenary Anchor Leg Mooring,1987,31,"250,000",2,
,,,Off Daesan,Off Daesan 1991,,Installed,Catenary Anchor Leg Mooring,1991,31,"250,000",2,
,,,Off Dalaro,Off Dalaro,SWEDISH NAVY,Installed,Catenary Anchor Leg Mooring,1959,8,"3,000",1,First SPM ever installed.
,,,Off Djatibarang,Off Djatibarang,Pertamina,Installed,Catenary Anchor Leg Mooring,1973,23,"150,000",3,
,,,Off Durban,Off Durban 1969,Shell,Removed,Catenary Anchor Leg Mooring,1969,46,"210,000",2,
,,,Off Durban,Off Durban 1974,,Installed,Catenary Anchor Leg Mooring,1974,46,"210,000",1,Replacement unit.
,,,Off El Aaiun,Off El Aaiun,,Installed,Catenary Anchor Leg Mooring,1961,9,"3,000",1,
,,,Off El Alamein,Off El Alamein,WEPCO,Installed,Catenary Anchor Leg Mooring,1979,21,"100,000",2,
,,,Off Esmeraldes,Off Esmeraldes 1971,,Installed,Catenary Anchor Leg Mooring,1971,38,"100,000",2,
,,,Off Esmeraldes,Off Esmeraldes 1978,Texaco,Installed,Catenary Anchor Leg Mooring,1978,36,"200,000",2,Stock unit.
,,,Off Fiumicino,Off Fiumicino,,Installed,Catenary Anchor Leg Mooring,1962,15,"50,000",1,
,,,Off Frederickshaven,Off Frederickshaven,Danish Government,Installed,Single Anchor Leg Mooring,1983,23,"80,000",2,
,,,Off Fukui,Off Fukui,,Installed,Single Anchor Leg Mooring,1985,46,"300,000",2,Stock unit.
,,,Off Hakodate,Off Hakodate,,Installed,Catenary Anchor Leg Mooring,1968,15,"32,000",1,
,,,Off Hakozaki,Off Hakozaki,,Installed,Catenary Anchor Leg Mooring,1968,18,"100,000",4,
,,,Off Himeji,Off Himeji 1970,,Installed,Catenary Anchor Leg Mooring,1970,,"220,000",2,
,,,Off Himeji,Off Himeji 1992,,Installed,Catenary Anchor Leg Mooring,1992,22,"280,000",0,
,,,Off Jose Orimul,Off Jose Orimul,Corpoven,Installed,Catenary Anchor Leg Mooring,1993,28,"250,000",0,
,,,Off Kawasaki,Off Kawasaki 1968,,Installed,Catenary Anchor Leg Mooring,1968,,"265,000",2,Unit removed - year unknown.
,,,Off Kawasaki,Off Kawasaki 1974,,Installed,Catenary Anchor Leg Mooring,1974,,"300,000",2,
,,,Off Koshiba,Off Koshiba,,Installed,Catenary Anchor Leg Mooring,1967,20,"100,000",2,
,,,Off Kushikino,Off Kushikino,,Installed,Catenary Anchor Leg Mooring,1992,,"100,000",0,
,,,Off Lagos,Off Lagos,,Installed,Catenary Anchor Leg Mooring,1967,4,"2,000",2,CALM for LPG service.
,,,Off Limboh Point,Off Limboh Point,,Installed,Catenary Anchor Leg Mooring,1980,23,"150,000",3,
,,,Off Masila,Off Masila,,Installed,Catenary Anchor Leg Mooring,1993,44,"300,000",2,
,,,Off Mohammedia,Off Mohammedia,,Installed,Catenary Anchor Leg Mooring,1971,22,"100,000",2,
,,,Off Mubarras Island,Off Mubarras Island,,Installed,Catenary Anchor Leg Mooring,1972,18,"200,000",1,
,,,Off Mutsu,Off Mutsu,,Installed,Single Anchor Leg Mooring,1983,44,"300,000",2,
,,,Off Niigata,Off Niigata 1961,Shell,Installed,Catenary Anchor Leg Mooring,1961,,"100,000",1,
,,,Off Niigata,Off Niigata 1990,,Installed,Catenary Anchor Leg Mooring,1990,,"130,000",0,
,,,Off Noumea,Off Noumea,,Installed,Catenary Anchor Leg Mooring,1977,19,"100,000",1,Fuel oil supply.
,,,Off Oita,Off Oita,,Installed,Catenary Anchor Leg Mooring,1963,54,"100,000",2,
,,,Off Onoda,Off Onoda 1969,,Installed,Catenary Anchor Leg Mooring,1969,,"200,000",2,Stored as a spare unit.
,,,Off Onoda,Off Onoda 1973,,Installed,Catenary Anchor Leg Mooring,1973,,"200,000",2,
,,,Off Paka,Off Paka,,Installed,Catenary Anchor Leg Mooring,1981,,"85,000",3,
,,,Off Point Cortes,Off Point Cortes,Texaco,Installed,Catenary Anchor Leg Mooring,1991,,,0,
,,,Off Puerto Rosales,Off Puerto Rosales,,Installed,Catenary Anchor Leg Mooring,1970,18,"40,000",2,
,,,,Off Punta Ciquena,,Installed,Catenary Anchor Leg Mooring,1979,,"60,000",2,Buoy interchangeable at all offshore sites off Argentina.
,,,Off Rabon Grande,Off Rabon Grande 1978,Pemex,Installed,Catenary Anchor Leg Mooring,1978,27,"150,000",3,Stock unit.
,,,Off Rabon Grande,Off Rabon Grande 1981,Pemex,Installed,Catenary Anchor Leg Mooring,1981,28,"250,000",3,
,,,Off Ras Lanuf,Off Ras Lanuf 1969,Mobil,Installed,Catenary Anchor Leg Mooring,1969,29,"255,000",2,
,,,Off Ras Lanuf,Off Ras Lanuf 1993,Veba,Installed,Catenary Anchor Leg Mooring,1992,29,"255,000",2,
,,,Off Ras Lanuf,Off Ras Lanuf 1993,Veba,Installed,Catenary Anchor Leg Mooring,1993,30,"300,000",2,
,,,Off Ras Sadat,Off Ras Sadat,Petrojet,Installed,Catenary Anchor Leg Mooring,1986,20,"60,000",0,
,,,Off Rosal Knafji,Off Rosal Knafji,,Installed,Catenary Anchor Leg Mooring,1981,,"300,000",2,
,,,Off Rosarito Beach,Off Rosarito Beach,Pemex,Installed,Catenary Anchor Leg Mooring,1976,23,"60,000",3,
,,,Off Salina Cruz,Off Salina Cruz 1974,Pemex,Installed,Catenary Anchor Leg Mooring,1974,23,"60,000",4,
,,,Off Salina Cruz,Off Salina Cruz 1977,Pemex,Installed,Catenary Anchor Leg Mooring,1977,23,"60,000",4,
,,,Off Salina Cruz,Off Salina Cruz 1981,Pemex,Installed,Catenary Anchor Leg Mooring,1981,28,"250,000",3,
,,,Off Salina Cruz,Off Salina Cruz 1986,Pemex,Installed,Catenary Anchor Leg Mooring,1986,27,"250,000",0,
,,,Off Santa Marta,Off Santa Marta,Ecopetrol,Installed,Catenary Anchor Leg Mooring,1993,28,"70,000",1,
,,,Off Santo Domingo,Off Santo Domingo,,Installed,Catenary Anchor Leg Mooring,1971,26,"150,000",2,
,,,Off Santo Domingo,Off Santo Domingo,Shell,Installed,Catenary Anchor Leg Mooring,1985,25,"70,000",2,
,,,Off St Jonn,Off St Jonn,,Installed,Catenary Anchor Leg Mooring,1988,45,"350,000",1,
,,,Off Taharoa,Off Taharoa 1972,,Installed,Catenary Anchor Leg Mooring,1972,23,"70,000",2,
,,,Off Taharoa,Off Taharoa 1976,,Installed,Catenary Anchor Leg Mooring,1976,32,"150,000",2,
,,,Off Tanjung Paser,Off Tanjung Paser,Pertamina,Installed,Catenary Anchor Leg Mooring,1984,21,"35,000",2,
,,,Off Taoyuan,Off Taoyuan,,Installed,Catenary Anchor Leg Mooring,1972,35,"250,000",2,
,,,,Off Tedut,Petrobras,Installed,Catenary Anchor Leg Mooring,1980,22,"200,000",2,Stand-by unit.
,,,Off Tengan,Off Tengan,,Installed,Catenary Anchor Leg Mooring,1970,21,"50,000",2,
,,,Off Tetney (Humber River),Off Tetney (Humber River) 1970,ConocoPhillips,Installed,Catenary Anchor Leg Mooring,1970,23,"210,000",1,
,,,Off Tetney (Humber River),Off Tetney (Humber River) 1981,ConocoPhillips,Installed,Catenary Anchor Leg Mooring,1981,23,"280,000",1,
,,,Off Tuxpan,Off Tuxpan,CFE Engineers,Installed,Catenary Anchor Leg Mooring,1988,16,"45,000",0,
,,,Off Ulsan,Off Ulsan 1969,,Installed,Catenary Anchor Leg Mooring,1969,27,"200,000",3,
,,,Off Ulsan,Off Ulsan 1980,,Installed,Catenary Anchor Leg Mooring,1980,27,"325,000",3,
,,,Off Ulsan,Off Ulsan 1990,,Installed,Catenary Anchor Leg Mooring,1990,23,"325,000",2,
,,,Off Wapipi Point,Off Wapipi Point,,Installed,Catenary Anchor Leg Mooring,1971,20,"75,000",1,First CALM for Bulk ore slurry transfer.
,,,Off Yanbu,Off Yanbu,PETROMIN,Installed,,1981,,"350,000",2,
,,,Off Yanbu,Off Yanbu,Saudi Aramco,Installed,,1981,30,"275,000",0,
,,,Off Yanbu,Off Yanbu,PETROMIN,Installed,,1981,,"500,000",2,
,,,Off Yokkaichi,Off Yokkaichi 1965,,Installed,Catenary Anchor Leg Mooring,1965,38,"120,000",2,
,,,Off Yokkaichi,Off Yokkaichi 1965,,Installed,Catenary Anchor Leg Mooring,1965,38,"200,000",3,
,,,Off Yokkaichi,Off Yokkaichi 1968,,Installed,Catenary Anchor Leg Mooring,1968,,"200,000",2,Unit is stored as a spare.
,,,Off Yokkaichi,Off Yokkaichi 1971,,Installed,Catenary Anchor Leg Mooring,1971,,"230,000",2,Stored as a spare unit.
,,,Off Yokkaichi,Off Yokkaichi 1976,,Installed,Catenary Anchor Leg Mooring,1976,38,"300,000",2,
,,,Off Yokkaichi,Off Yokkaichi 1993,,Installed,Catenary Anchor Leg Mooring,1993,,"280,000",0,
,,,Off Yokohama,Off Yokohama,,Installed,Catenary Anchor Leg Mooring,1969,,"200,000",2,Stored as a spare unit.
,,,Off Yokohama,Off Yokohama 1975,,Installed,Catenary Anchor Leg Mooring,1975,22,"200,000",2,
,,,Off Yosu,Off Yosu,,Installed,Catenary Anchor Leg Mooring,1969,34,"100,000",2,
,,,Off Zuetina,Off Zuetina,,Installed,Catenary Anchor Leg Mooring,1968,30,"100,000",1,
,,,Off Zuetina,Off Zuetina,,Installed,Catenary Anchor Leg Mooring,1968,32,"150,000",2,
,,,Off Zuetina,Off Zuetina,,Installed,Catenary Anchor Leg Mooring,1968,32,"210,000",1,
,,,Off Zuetina,Off Zuetina 1979,,Installed,Catenary Anchor Leg Mooring,1979,30,"275,000",2,
,,,Offshore Algeria,Offshore Algeria,Sonatrach,Installed,Catenary Anchor Leg Mooring,2004,,,0,"FMC Technologies plans to sub-contract pipeline design, supply and installation & the onshore facilities to OPE of Houston, TX. Export terminals will be used to transport crude & condensate from onshore facilities."
,,,Offshore Algeria,Offshore Algeria,Sonatrach,Installed,Catenary Anchor Leg Mooring,2004,,,0,"FMC Technologies plans to sub-contract pipeline design, supply and installation & the onshore facilities to OPE of Houston, TX. Export terminals will be used to transport crude & condensate from onshore facilities."
,,,Offshore Algeria,Offshore Algeria,Sonatrach,Installed,Catenary Anchor Leg Mooring,2004,,,0,"FMC Technologies plans to sub-contract pipeline design, supply and installation & the onshore facilities to OPE of Houston, TX. Export terminals will be used to transport crude & condensate from onshore facilities."
,,,Offshore Algeria,Offshore Algeria,Sonatrach,Installed,Catenary Anchor Leg Mooring,2004,,,0,"FMC Technologies plans to sub-contract pipeline design, supply and installation & the onshore facilities to OPE of Houston, TX. Export terminals will be used to transport crude & condensate from onshore facilities."
,,,Offshore Area I,Offshore Area I,Chevron,Installed,Catenary Anchor Leg Mooring,1975,22,"100,000",2,Formerly operated by Gulf Oil.
,,,Offshore Area II,Offshore Area II,Chevron,Installed,Catenary Anchor Leg Mooring,1976,24,"79,200",2,Formerly operated by Gulf Oil.
,,,"Offshore Cochin, Southwest India","Offshore Cochin, Southwest India",,Installed,,2007,30,,0,
,,,Colombo Harbour,"Offshore Colombo, Sri Lanka",,Installed,Catenary Anchor Leg Mooring,2002,15,,0,Installation expected fall 2002. System will handle imported diesel and kerosene from a variety of tankers.
,,,Offshore,Offshore Indonesia,,Installed,Conventional Buoy Mooring,1982,15,"10,000",2,
,,,,Offshore Novorossiysk,Caspian Pipeline,Installed,Catenary Anchor Leg Mooring,2000,58,"300,000",2,For Caspian Pipeline Consortium. Fluor Daniel = engrg.
,,,,Offshore Novorossiysk,Caspian Pipeline,Installed,Catenary Anchor Leg Mooring,2000,59,"300,000",2,For Caspian Pipeline Consortium. Fluor Daniel = engrg.
,,,,Offshore Novorossiysk 2002,Caspian Pipeline,Installed,Catenary Anchor Leg Mooring,2002,60,"300,000",2,For Caspian Pipeline Consortium. Fluor Daniel = engrg.
,,,Offshore Port of Esmeraldas,Offshore Port of Esmeraldas,,Installed,Catenary Anchor Leg Mooring,2003,31,"130,000",0,"One of two export buoys to be connected to the 300-mile OCP Pipeline System, which will cross the mainland of Ecuador. This buoy will be delivered from inventory. Delivery from Yantai Shipyard in China. System online mid-2003."
,,,Offshore Port of Esmeraldas,Offshore Port of Esmeraldas,,Installed,Catenary Anchor Leg Mooring,2003,41,"250,000",0,"One of two export buoys to be connected to the 300-mile OCP Pipeline System, which will cross the mainland of Ecuador. This particular buoy will be a new build. Delivery from Yantai Shipyard in China. System online mid-2003."
,,,Offshore Qatar,Offshore Qatar,Maersk Oil,Installed,Catenary Anchor Leg Mooring,1976,27,"65,000",1,
,,,,Onsan Port,,Installed,Catenary Anchor Leg Mooring,1978,27,"250,000",2,
,,,Pang Kalan Susu,Pang Kalan Susu,Pertamina,Installed,Catenary Anchor Leg Mooring,1970,,"100,000",2,
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,,"250,000",3,Unit placed in storage.
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,,"250,000",3,Unit placed in storage.
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,,"250,000",3,Unit placed in storage.
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,30,"250,000",3,Stock unit.
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,29,"250,000",3,
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,,"250,000",3,Unit placed in storage.
,,,Persian Gulf Area,Persian Gulf Area,NIOC,Installed,Catenary Anchor Leg Mooring,1985,26,"250,000",3,Stock unit.
,,,Pohang,Pohang,,Installed,,1974,,,0,
,,,Pointe a Pierre,Pointe a Pierre,Texaco,Installed,Catenary Anchor Leg Mooring,1973,24,"260,000",3,
,,,Port Limbay,Port Limbay,Mobil,Installed,Single Anchor Leg Mooring,1980,28,"300,000",2,
,,,Port of Bouet,Port of Bouet,,Installed,Catenary Anchor Leg Mooring,1980,50,"250,000",3,
,,,Port Stanvac,Port Stanvac,Mobil,Installed,Catenary Anchor Leg Mooring,1991,25,"300,000",3,
,,,Port Sudan,Port Sudan,,Installed,Catenary Anchor Leg Mooring,1999,54,"300,000",0,Muglad Basin Project for operator Greater Nile Petroleum Operating Company.
,,,Porto Torres,Porto Torres,,Installed,Catenary Anchor Leg Mooring,1970,31,"255,000",2,
,,,PPN,PPN,,Installed,Catenary Anchor Leg Mooring,2000,,"20,000",1,Single Buoy Moorings acquired Imodco.
,,,Qalhat Plant,Qalhat Plant,OLNG,Installed,,1998,12,,0,Production from central oman via pipeline to liquefaction plant forshipment in cryogenic tankers. First deliveries 2000.
,,,,Quintero Bay,ENAP,Installed,Catenary Anchor Leg Mooring,1971,47,"209,000",2,
,,,,Ras Laffan Condensate Export,Qatargas,Installed,,2007,11,,0,10/06: qatargas operating co awards bluewater contract for 2xspmbuoy systems for offloading condensate. 54km offshore from refinery
