FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),Athena (Aus),ExxonMobil,Installed,Cluster,2001,,4,120,Gas/condensate discovery adjacent to Perseus.
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,Audacious/Tenacious,PTTEP,Possible,,2016,,2,170,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,Audacious/Tenacious,OMV,Possible,Cluster,2016,,3,150,Expro Group = conceptual engrg/FEED. Est 14 MMbbls.
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,Installed,Cluster,2014,VetcoGray,4,135,
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase I,"Roc Oil, Cooper Energy, Anzon",Installed,Cluster,2006,Cooper Cameron,5,200,
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase I,"Roc Oil, Cooper Energy, Anzon",Installed,Satellite,2006,Cooper Cameron,1,200,
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase IB,"Roc Oil, Cooper Energy",Installed,Satellite,2009,,1,120,
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy",Cancelled,,2015,,3,125,
Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase III,ConocoPhillips,Construction,,2014,FMC,2,79,
Australia/New Zealand,Australia,VIC P/24,Blackback,Blackback,ExxonMobil,Installed,Satellite,1999,ABB Vetco Gray,3,400,
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,Bonaparte LNG,Apache,Planned,,2018,,1,89,
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte LNG,GDF Suez,Planned,,2019,,2,100,
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,Bonaparte LNG,Apache,Planned,,2019,,2,90,
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse FLNG 1,Woodside,Planned,,2021,,4,400,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,Browse FLNG 2,Woodside,Planned,,2022,,4,650,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,Browse FLNG 3,Woodside,Planned,,2023,,4,400,
Australia/New Zealand,Australia,NT/P69,Caldita/Barossa,Caldita/Barossa,ConocoPhillips,Planned,,2016,,1,236,06/12: FEED expected in 2014
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,Cash-Maple Development,PTTEP,Possible,Satellite,2019,,1,82,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,Cash-Maple Development,PTTEP,Possible,Satellite,2019,,2,89,Formerly AC/P7.
Australia/New Zealand,Australia,AC/P33,Cash-Maple Development,Cash-Maple Development,PTTEP,Possible,,2019,,3,305,
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple Development,PTTEP,Planned,Cluster,2019,,4,122,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,Cash-Maple Development,PTTEP,Possible,Satellite,2019,,2,85,
Australia/New Zealand,Australia,VIC/P44,Casino,Casino,Santos,Installed,,2005,Cooper Cameron,2,47,First gas expected in 1q06. Estimated reserves = 200-700 Bcf of gas.
Australia/New Zealand,Australia,,Cassini,Cassini,BHP Billiton,Installed,Satellite,1988,Cooper Cameron,1,116,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,"Challis-Cassini, Challis and Jabiru decommissioning",BHP Billiton,Installed,Satellite,1990,Cooper Cameron,7,106,
Australia/New Zealand,Australia,WA-205-P,Chrysaor,Chrysaor,Chevron,Possible,Cluster,2016,,4,817,Possible tie-in to Gorgon development. Likely recoverable reserves of 4.0 Tcf of gas.
Australia/New Zealand,Australia,WA-28-L,Cimatti,Cimatti,Woodside,Possible,Cluster,2018,,2,547,04/13: Original dev. concept subsea tie-back to Enfield's FPSO is scrapped. Woodside to consider other alternatives.
Australia/New Zealand,Australia,,Cobia,Cobia,ExxonMobil,Installed,Satellite,1979,Cooper Cameron,1,76,
Australia/New Zealand,Australia,WA-371-P,Concerto,Concerto,Shell,Planned,,2018,,1,250,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,Coniston-Novara Development,Apache,Installed,Cluster,2013,VetcoGray,6,390,Oil discovery 15mi north of Macedon/Pyrenees oil discoveries. Heavy oil discovery.
Australia/New Zealand,Australia,WA-35-L,Coniston/Novara,Coniston-Novara Development,Apache,Installed,,2013,VetcoGray,1,380,
Australia/New Zealand,Australia,AC/L5,Corallina Laminaria,Corallina Laminaria,Woodside,Installed,Cluster,1998,Kvaerner Brug,2,408,
Australia/New Zealand,Australia,AC/L5,Corallina Laminaria,Corallina Laminaria,Woodside,Installed,Satellite,1998,Kvaerner Brug,1,404,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,Corallina Laminaria,Woodside,Installed,Cluster,1999,Kvaerner Brug,4,420,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,Corallina Laminaria,Woodside,Installed,Satellite,2002,,2,380,
Australia/New Zealand,Australia,AC/L9,Crux,Crux FLNG,Nexus Energy,Possible,,2019,,8,168,
Australia/New Zealand,Australia,WA-28-P,Dixon,Dixon,Woodside,Possible,Satellite,2018,,1,90,"4/07: The phased development of these Goodwyn satellites consists of subsea developments tied back to the Goodwyn-A platform, with production start-ups expected in the 2008–2011 period."
Australia/New Zealand,Australia,WA-5-L,Dockrell,Dockrell,Woodside,Possible,Cluster,2018,,5,110,600 Bcf gas development.Western Flank Gas Project
Australia/New Zealand,Australia,WA-13-L,East Spar,East Spar,WMC,Installed,Satellite,1996,FMC,2,98,
Australia/New Zealand,Australia,WA-28-P,Echo-Yodel,Echo-Yodel,Woodside,Installed,Satellite,2001,FMC,1,140,
Australia/New Zealand,Australia,WA-28-P,Echo-Yodel,Echo-Yodel,Woodside,Installed,Satellite,2001,FMC,1,140,
Australia/New Zealand,Australia,WA-23-L,Echo-Yodel,Echo-Yodel Phase II,Woodside,Possible,Satellite,2018,,1,140,Part of Western Flank Gas Project.
Australia/New Zealand,Australia,WA-377-P,Echuca Shoals/Fossetmaker,Echuca Shoals FLNG,Nexus Energy,Possible,,2020,,2,170,
Australia/New Zealand,Australia,,Egret,Egret (Aus),Woodside,Possible,Satellite,2015,,2,90,
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,Elang-Kakatua,BHP Billiton,Installed,Satellite,1998,Cooper Cameron,1,80,
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,Elang-Kakatua,BHP Billiton,Installed,Satellite,1998,Cooper Cameron,1,80,
Australia/New Zealand,Australia,,Elang-Kakatua,Elang-Kakatua,BHP Billiton,Installed,Satellite,1998,Cooper Cameron,1,82,
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,Elang-Kakatua,BHP Billiton,Installed,Satellite,1998,Cooper Cameron,1,82,
Australia/New Zealand,Australia,WA-271-P,Enfield,Enfield,Woodside,Installed,Satellite,2006,FMC,13,561,
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Equus LNG,Hess,Possible,,2017,,18,"1,200","09/12: Contracting for the detailed design, qualification, manufacture, and acceptance testing of 18 5” x 10K Vertical Monobore Subsea Xmas Tree Systems, supplied in three phases (Ph 1 – 7 XT Systems, Ph 2 – 6 XT Systems, Ph 3 – 4 XT Systems).

Equus will involve the installation of 18 production wells and a subsea gas gathering system, tied back to a Floating Production System (FPS) anchored in the permit. A subsea pipeline of more than 100km in length will be laid to export gas from the FPS to pre-existing third party offshore infrastructure - likely Woodside's Pluto or Chevron's Wheatstone. The installation of the pipeline is expected to take four months."
Australia/New Zealand,Australia,NT/P48,Evans Shoal,Evans Shoal,MEO Australia,Possible,,2016,,2,100,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,Evans Shoal,MEO Australia,Possible,Cluster,2016,,8,108,
Australia/New Zealand,Australia,WA-191-P,Finucane South/Fletcher,Fletcher-Finucane Oil Development,Santos,Installed,,2013,GE Oil & Gas,2,140,
Australia/New Zealand,Australia,WA-191-P,Finucane South/Fletcher,Fletcher-Finucane Oil Development,Santos,Installed,,2013,GE Oil & Gas,1,140,
Australia/New Zealand,Australia,WA-267-P,Geryon/Orthrus tieback,Geryon/Orthrus tieback,Chevron,Possible,,2016,,2,"1,199",
Australia/New Zealand,Australia,WA-267-P,Geryon/Orthrus tieback,Geryon/Orthrus tieback,Chevron,Possible,,2016,,8,"1,231",Gas discovery 9/99 enhances commerciality of WAPET-operated Gorgon West Tryal Rocks Spar Chrysaor and Dionysus gas fields. Together reserves potentialy = 17.5 Tcf of gas. FEED underway.
Australia/New Zealand,Australia,TL/6,Gibson/South Plato,Gibson/South Plato,Apache,Installed,,2002,,1,8,
Australia/New Zealand,Australia,TL/6,Gibson/South Plato,Gibson/South Plato,Apache,Installed,,2002,,1,8,
Australia/New Zealand,Australia,TL/1,Gipsy/Rose/Lee,Gipsy/Rose/Lee,Apache,Installed,Satellite,2001,,2,26,
Australia/New Zealand,Australia,WA-18-R,Gorgon/Jansz/Io,Gorgon Phase I,Chevron,Construction,Cluster,2014,VetcoGray,5,"1,345",Holds 5 out of 10 trees in Jansz-Uo field
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Gorgon Phase I,Chevron,Construction,Cluster,2014,VetcoGray,4,216,"09/13: will commence production approximately six months after the Jansz-Io field.

Can hold up to 6 trees, but currently only holds 4 out of the 8 planned trees in initial phase in Gorgon field"
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Gorgon Phase I,Chevron,Construction,Template,2014,VetcoGray,2,200,"09/13: will commence production approximately six months after the Jansz-Io field.

Holds 2 out of the 8 planned trees in initial phase of Gorgon field"
Australia/New Zealand,Australia,WA-18-R,Gorgon/Jansz/Io,Gorgon Phase I,Chevron,Construction,Cluster,2014,VetcoGray,5,"1,345",Holds 5 out of 10 trees in Jansz-Uo field
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Gorgon Phase I,Chevron,Construction,Cluster,2014,VetcoGray,2,198,09/13: will commence production approximately six months after the Jansz-Io field.
Australia/New Zealand,Australia,WA-267-P,Geryon/Orthrus tieback,Gorgon Phase II - Fourth Train Expansion,Chevron,Possible,,2016,,3,"1,231",
Australia/New Zealand,Australia,WA-268-P,Gorgon Phase II - Fourth Train Expansion,Gorgon Phase II - Fourth Train Expansion,Chevron,Possible,,2016,,5,"1,199",
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Gorgon Phase III,Chevron,Possible,,2025,,1,244,Possible Subsea compression facility.
Australia/New Zealand,Australia,WA-5-L,Greater Western Flank Phase 1 (GWF-1),Greater Western Flank Phase 1 (GWF-1),Woodside,Construction,Cluster,2014,FMC,2,120,
Australia/New Zealand,Australia,WA-5-L,Greater Western Flank Phase 1 (GWF-1),Greater Western Flank Phase 1 (GWF-1),Woodside,Construction,Satellite,2015,,3,112,Oil and gas field near southern edge of Goodwyn field. Development decision remains outstanding.
Australia/New Zealand,Australia,WA-28-P,Greater Western Flank Phase 2 (GWF-2),Greater Western Flank Phase 2 (GWF-2),Woodside,Possible,,2016,,6,78,
Australia/New Zealand,Australia,,Griffin,Griffin,BHP Billiton,Installed,Satellite,1993,Cooper Cameron,1,136,
Australia/New Zealand,Australia,WA-10-L,Griffin,Griffin,BHP Billiton,Installed,Satellite,1993,Cooper Cameron,2,143,
Australia/New Zealand,Australia,WA-10-L,Griffin,Griffin,BHP Billiton,Installed,Satellite,1994,Cooper Cameron,6,138,
Australia/New Zealand,Australia,WA-10-L,Griffin,Griffin,BHP Billiton,Installed,Satellite,2000,Cooper Cameron,1,136,Infill well drilled same time as Griffin-8.
Australia/New Zealand,Australia,WA-10-L,Griffin,Griffin,BHP Billiton,Installed,Satellite,2000,Cooper Cameron,1,136,Infill well which discovered significant oil column of 206'. Together w/Scindian-3 boost FPSO prod to over 50K B/D.
Australia/New Zealand,Australia,WA-13-L,Halyard,Halyard,Apache,Installed,,2011,,1,112,
Australia/New Zealand,Australia,VIC/P44,Henry,Henry,Santos,Installed,Satellite,2009,Cameron,2,70,
Australia/New Zealand,Australia,VIC/P44,Henry,Henry,Santos,Installed,,2010,,1,"2,517",
Australia/New Zealand,Australia,VIC/P44,Henry,Henry,Santos,Installed,,2010,,1,70,
Australia/New Zealand,Australia,ZOCA 91-12,Hingkip,Hingkip,ConocoPhillips,Possible,,2017,,1,70,Santos BHP = partners.
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Construction,Cluster,2016,GE Oil & Gas,5,250,"07/10: Ichthys gas field development project is expected to have a life of 40 years during which the firm plans to drill about 50 subsea wells.

30 wells at Brewster,
20 wells at Plover (Future)

GE to deliver 22 subsea trees in 2014"
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Construction,Cluster,2016,GE Oil & Gas,5,250,
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Construction,Cluster,2016,GE Oil & Gas,4,250,
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Construction,Cluster,2016,GE Oil & Gas,4,250,
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Construction,Cluster,2016,GE Oil & Gas,4,250,
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys Expansion,INPEX,Planned,Cluster,2056,,24,250,
Australia/New Zealand,Australia,AC/L1,Jabiru,"Jabiru, Challis and Jabiru decommissioning",BHP Billiton,Installed,Satellite,1990,Cooper Cameron,6,120,
Australia/New Zealand,Australia,JPDA 03-01,Jahal,Jahal,Woodside,Possible,Satellite,2015,,2,430,
Australia/New Zealand,Australia,WA-356-P,Brunello,Julimar Development Project (JDP),Apache,Construction,,2015,GE Oil & Gas,5,154,
Australia/New Zealand,Australia,WA-6-L,Keast,Keast,Woodside,Possible,Cluster,2018,,4,110,
Australia/New Zealand,Australia,VIC/L4,Kipper Tuna Turrum,Kipper Phase 1,ExxonMobil,Installed,Cluster,2010,VetcoGray,2,94,"FEED to be completed in Q4 2007. FID in late 2007 subject to environment and regulatory approvals.
04/09 contracted semi Ocean Patriot for development drilling early 2010"
Australia/New Zealand,Australia,VIC/RL2,Kipper Tuna Turrum,Kipper Tuna Turrum,ExxonMobil,Installed,,2012,VetcoGray,2,100,
Australia/New Zealand,Australia,JPDA 06-105,Kitan,Kitan,Eni,Installed,Cluster,2011,FMC,3,305,
Australia/New Zealand,Australia,JPDA 03-01,Kuda Tasi,Kuda Tasi,Woodside,Possible,Cluster,2015,,8,430,
Australia/New Zealand,Australia,V11-2,La Bella,La Bella,"WHL Energy, BHP Billiton",Planned,,2016,,2,95,"06/13: To drill two wells in late 2014/early 2015
04/13: Three possible tie-backs Santos' Casino, BHP's Minerva and Origin's Thylacine Geographe"
Australia/New Zealand,Australia,WA-8-R,Cossack Wanaea Lambert Hermes (CWLH),Lambert/Hermes,Woodside,Installed,Satellite,1998,FMC,2,127,
Australia/New Zealand,Australia,WA-271-P,Laverda,Laverda,Woodside,Possible,,2018,,8,850,60 MMbbls of oil.  Likely subsea tieback to Enfield or Stybarrow FPSO.
Australia/New Zealand,Australia,VIC/P54,Longtom,Longtom,Nexus Energy,Installed,Cluster,2008,Cooper Cameron,3,56,09/13: Longtom-5 well targeted for Q2 2015
Australia/New Zealand,Australia,,Loxton Shoals,Loxton Shoals,Woodside,Possible,,2023,,12,250,
Australia/New Zealand,Australia,WA-43-L,Macedon,Macedon Gas Project,BHP Billiton,Installed,Cluster,2012,Cameron,4,149,
Australia/New Zealand,Australia,VIC/P31,Minerva,Minerva,BHP Billiton,Installed,Satellite,2003,Cooper Cameron,2,60,
Australia/New Zealand,Australia,VIC/P47,Moby,Moby,Bass Strait Oil,Possible,Satellite,2017,,2,55,
Australia/New Zealand,Australia,AC/L7,Montara Dev Proj (MDP),Montara Dev Proj (MDP),"Coogee Resources, PTTEP",Installed,Satellite,2008,,2,80,Part of Montara development.
Australia/New Zealand,Australia,AC/L8,Montara Dev Proj (MDP),Montara Dev Proj (MDP),Coogee Resources,Installed,Satellite,2011,VetcoGray,2,80,Part of Montara development.
Australia/New Zealand,Australia,AC/L8,Montara Dev Proj (MDP),Montara Dev Proj (MDP),PTTEP,Installed,Satellite,2013,VetcoGray,1,81,
Australia/New Zealand,Australia,WA-26-L,Mutineer-Exeter,Mutineer-Exeter,Santos,Installed,Template,2006,ABB Vetco Gray,1,146,
Australia/New Zealand,Australia,WA-26-L,Mutineer-Exeter,Mutineer-Exeter,Santos,Installed,Template,2006,,7,150,Provision for up to nine wells in the Mutineer field and five in Exeter
Australia/New Zealand,Australia,TL/2,North Herald/South Pepper,North Herald/South Pepper,WMC,Installed,Satellite,1991,Cooper Cameron,4,18,
Australia/New Zealand,Australia,NT/P68,NT/P68 LNG,NT/P68 LNG,Eni,Possible,,2018,,2,60,
Australia/New Zealand,Australia,NT/P68,NT/P68 LNG,NT/P68 LNG,Eni,Possible,,2018,,2,60,
Australia/New Zealand,Australia,VIC/L23,Otway Gas Project,Otway Gas Project Phase 3,Origin,Installed,Cluster,2013,GE Oil & Gas,2,85,
Australia/New Zealand,Australia,VIC/RL5,Patricia Baleen,Patricia Baleen,OMV,Installed,Satellite,2002,,4,55,First scheduled gas delivery by Sept. 2002. Production expected to reach a max of 16 Bcf of gas. Ocean Bounty to commence well development program mid-May.
Australia/New Zealand,Australia,WA-1-L,Persephone,Persephone,Woodside,Planned,,2016,,1,125,
Australia/New Zealand,Australia,WA-1-L,Perseus-Over-Goodwyn,Perseus-Over-Goodwyn,Woodside,Installed,,2007,FMC,1,140,
Australia/New Zealand,Australia,WA-1-L,Perseus-Over-Goodwyn,Perseus-Over-Goodwyn,Woodside,Installed,Cluster,2007,FMC,3,91,"Fields form the Perseus-over-Goodwyn project. Project received final investment approval in December 2004. Phase 1 = 4 subsea wells (3 on Perseus, 1 on Searipple). First production is expected 2q07."
Australia/New Zealand,Australia,WA-350-P,Pluto LNG,Pluto LNG,Woodside,Installed,Cluster,2009,FMC,5,830,
Australia/New Zealand,Australia,WA-350-P,Pluto LNG,Pluto LNG Expansion,Woodside,Possible,Cluster,2017,,6,900,
Australia/New Zealand,Australia,WA-371-P,Prelude,Prelude FLNG,Shell,Construction,Cluster,2015,FMC,7,250,"09/13: Semi Noble Clyde Boudreaux drilling 7 development wells. Entire campaign to take about two years.
08/13: Two production manifolds gathering gas from 7 vertical trees"
Australia/New Zealand,Australia,AC/P22,Puffin North East,Puffin North East,AED Oil,Installed,Satellite,2007,Cameron,3,105,
Australia/New Zealand,Australia,WA-43-L,Pyrenees,Pyrenees Development,BHP Billiton,Installed,Cluster,2009,Cooper Cameron,6,206,"Pyrenees project will jointly develop Ravensworth,Crosby,Stickle,Harrison discoveries as subsea tiebacks to an FPSO."
Australia/New Zealand,Australia,WA-43-L,Pyrenees,Pyrenees Development,BHP Billiton,Installed,Cluster,2010,Cooper Cameron,5,191,"Pyrenees project will jointly develop Ravensworth,Crosby,Stickle,Harrison discoveries as subsea tiebacks to an FPSO."
Australia/New Zealand,Australia,WA-43-L,Pyrenees,Pyrenees Development,BHP Billiton,Installed,Cluster,2010,Cooper Cameron,7,210,"Pyrenees project will jointly develop Ravensworth,Crosby,Stickle,Harrison discoveries as subsea tiebacks to an FPSO."
Australia/New Zealand,Australia,,,Pyrenees Expansion,BHP Billiton,Installed,,2014,Cameron,6,201,"10/13: 3 wells on Moondyne, 2 on Tanglehead, and 1 on Wildbull.
03/13: Nan Hai VI to drill ""topholes"" of five production wells in April 2013"
Australia/New Zealand,Australia,WA-24-L,Rankin/Sculptor,Rankin/Sculptor,Woodside,Possible,Satellite,2018,,3,107,"Up to 3 wells, 2 on Sculptor and 1 on RankinWestern Flank Gas Development"
Australia/New Zealand,Australia,EP 325,Rivoli,Rivoli,Strike Oil,Possible,,2016,,1,70,
Australia/New Zealand,Australia,WA-25-L,Scalybutt,Scalybutt,Eni,Installed,Satellite,2007,,2,100,Links to Four Vanguard through Woollybutt-2 manifold.
Australia/New Zealand,Australia,WA-1-R,Scarborough,Scarborough Phase I,ExxonMobil,Planned,,2019,,7,945,04/13: Phase I - Approx. 7 production wells
Australia/New Zealand,Australia,WA-1-R,Scarborough,Scarborough Phase II,ExxonMobil,Possible,,2035,,5,900,
Australia/New Zealand,Australia,VIC/P57,Seahorse,Seahorse,"ExxonMobil, Hibiscus Petroleum",Installed,Satellite,1989,VetcoGray,2,43,
Australia/New Zealand,Australia,AC/L8,Montara Dev Proj (MDP),Skua,BHP Billiton,Decommissioned,Satellite,1991,Cooper Cameron,3,80,
Australia/New Zealand,Australia,VIC/RL3,Sole,Sole,Santos,Possible,Satellite,2016,,8,129,
Australia/New Zealand,Australia,WA-4-R,Spar,Spar-2 tieback to Halyard,Apache,Planned,Satellite,2015,,1,140,
Australia/New Zealand,Australia,WA-209-P,Stag,Stag,Apache,Installed,Satellite,1999,Cooper Cameron,2,47,
Australia/New Zealand,Australia,WA-209-P,Stag,Stag Water Injection Modification,Apache,Installed,Daisy Chain,2011,Magnum SS,1,47,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,Stybarrow North,BHP Billiton,Installed,,2010,,1,850,
Australia/New Zealand,Australia,,,Stybarrow/Eskdale,BHP Billiton,Installed,Satellite,2007,,2,810,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,Stybarrow/Eskdale,BHP Billiton,Installed,Cluster,2007,,8,825,"Woodside owns 50%, BHP Billiton operator."
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,Sunrise LNG,Woodside,Possible,,2021,,8,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,Sunrise LNG,Woodside,Possible,,2021,,10,160,
Australia/New Zealand,Australia,,Tarwhine,Tarwhine,ExxonMobil,Installed,Satellite,1989,VetcoGray,1,43,
Australia/New Zealand,Australia,TL/1,Ulidia,Ulidia,Apache,Possible,,2016,,1,25,20 Bcf gas discovery.
Australia/New Zealand,Australia,WA-155-P,Van Gogh,Van Gogh,Apache,Installed,Cluster,2009,Cameron,13,400,"01/13: The existing Van Gogh development consists of 13 subsea wells, including 10 multi-lateral production wells tied into two large subsea manifolds, as well as a single two-way
gas injection/flow back well, and two
water injection wells."
Australia/New Zealand,Australia,WA-28-L,Vincent,Vincent,Woodside,Installed,Cluster,2010,FMC,16,379,"FMC awarded subsea systems contract

06/13: Vincent has fifteen development wells (eight bilateral producers, five trilateral producers, two water injection wells and one gas injection well)."
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Wanaea/Cossack,Woodside,Installed,Template,1995,Cooper Cameron,6,120,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Wanaea/Cossack,Woodside,Installed,Satellite,1995,FMC,2,120,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Wanaea/Cossack,Woodside,Installed,Cluster,1999,FMC,2,127,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,Wheatstone/Iago,Chevron,Construction,Cluster,2015,,3,118,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,Wheatstone/Iago,Chevron,Planned,Cluster,2016,,12,213,
Australia/New Zealand,Australia,VIC/L10,Whiptail,Whiptail,ExxonMobil,Possible,Cluster,2015,,4,39,
Australia/New Zealand,Australia,WA-25-L,Woollybutt,Woollybutt,Agip,Installed,Satellite,2003,ABB Vetco Gray,2,100,
Australia/New Zealand,Australia,WA-25-L,Woollybutt,Woollybutt South,Eni,Installed,Satellite,2008,,2,100,"Woollybutt Southern Lobe, ssti of 2 horizontal wells to FPSO already in place on Northern Lobe (5km north).First production from South Lobe expected early 2008.  Wells WB-4 and WB-6."
Australia/New Zealand,Australia,WA-350-P,Xena,Xena Phase 1,Woodside,Construction,,2015,,1,178,
Australia/New Zealand,Australia,WA-350-P,Xena,Xena Phase 2,Woodside,Planned,,2020,,1,178,
Australia/New Zealand,Australia,VIC/L5,Yellowtail,Yellowtail,ExxonMobil,Possible,Satellite,2019,,2,95,"GBS Platform, plus a subsea component may be used to develop field."
Australia/New Zealand,New Zealand,PEP 38602,Karewa,Karewa,Todd,Possible,,2017,,1,89,
Australia/New Zealand,New Zealand,PMP 38158,Oi,Oi,AWE,Possible,,2016,,1,120,
